Algoritmo,Funcion,Ejecucion,Fitness
Aleatoria,sphere,1,17.1731402590
Aleatoria,sphere,2,10.6755759657
Aleatoria,sphere,3,11.9951075153
Aleatoria,sphere,4,14.0387386443
Aleatoria,sphere,5,16.1454203924
Aleatoria,sphere,6,12.6181611925
Aleatoria,sphere,7,12.7094829089
Aleatoria,sphere,8,13.3273401184
Aleatoria,sphere,9,9.8816568865
Aleatoria,sphere,10,14.7037445815
Aleatoria,ackley,1,14.6187411697
Aleatoria,ackley,2,17.1514176302
Aleatoria,ackley,3,16.8092095687
Aleatoria,ackley,4,14.8508331730
Aleatoria,ackley,5,15.7289089865
Aleatoria,ackley,6,15.8755014161
Aleatoria,ackley,7,16.6558695648
Aleatoria,ackley,8,16.7795985956
Aleatoria,ackley,9,16.6438961614
Aleatoria,ackley,10,15.5155143328
Aleatoria,griewank,1,58.3160706588
Aleatoria,griewank,2,53.8856799420
Aleatoria,griewank,3,45.2767222944
Aleatoria,griewank,4,50.7990639851
Aleatoria,griewank,5,38.9631947694
Aleatoria,griewank,6,40.4758242198
Aleatoria,griewank,7,33.1730268043
Aleatoria,griewank,8,57.3031707309
Aleatoria,griewank,9,39.2584140242
Aleatoria,griewank,10,51.3307532661
Aleatoria,rastrigin,1,56.5293831782
Aleatoria,rastrigin,2,45.7543551212
Aleatoria,rastrigin,3,54.8822984417
Aleatoria,rastrigin,4,77.3483120143
Aleatoria,rastrigin,5,68.1252069998
Aleatoria,rastrigin,6,73.0569252091
Aleatoria,rastrigin,7,72.6529085689
Aleatoria,rastrigin,8,72.9654779658
Aleatoria,rastrigin,9,71.0869681625
Aleatoria,rastrigin,10,69.5037698586
Aleatoria,rosenbrock,1,230.4233207814
Aleatoria,rosenbrock,2,188.2917823264
Aleatoria,rosenbrock,3,205.7027752073
Aleatoria,rosenbrock,4,191.8651897698
Aleatoria,rosenbrock,5,122.1992314579
Aleatoria,rosenbrock,6,176.4343462654
Aleatoria,rosenbrock,7,171.8773773729
Aleatoria,rosenbrock,8,169.8890097845
Aleatoria,rosenbrock,9,148.0631691804
Aleatoria,rosenbrock,10,217.9174184983

ESTADISTICAS RESUMEN

Algoritmo,Funcion,Mejor,Peor,Promedio,Mediana,Desv.Est.
Aleatoria,sphere,9.8816568865,17.1731402590,13.3268368464,13.0184115137,2.1609359494
Aleatoria,ackley,14.6187411697,17.1514176302,16.0629490599,16.2596987888,0.8334071584
Aleatoria,griewank,33.1730268043,58.3160706588,46.8781920695,48.0378931398,8.2213347151
Aleatoria,rastrigin,45.7543551212,77.3483120143,66.1905605520,70.2953690106,9.6791140196
Aleatoria,rosenbrock,122.1992314579,230.4233207814,182.2663620644,182.3630642959,30.5628205256
