Algoritmo,Funcion,Mejor,Peor,Promedio,Mediana,Desv.Est.
AG,sphere,0.0000027955,0.0000223273,0.0000080642,0.0000058718,0.0000055923
AG,ackley,0.0086254203,2.3185355093,0.4470204828,0.0209903924,0.8623545814
AG,griewank,0.0262706222,0.4184936832,0.2022807079,0.2021334500,0.1315879425
AG,rastrigin,5.2178826506,23.0727227233,11.7635579638,9.3402250244,6.0283666836
AG,rosenbrock,6.2586278389,19.3058535925,9.5653369163,8.7528668565,3.3486191321
BusquedaAleatoria,sphere,4.5825410617,18.4429869326,12.7556540946,13.0634943048,3.7093939992
BusquedaAleatoria,ackley,15.2264881541,17.3735558169,16.3508661552,16.1551230900,0.6531974354
BusquedaAleatoria,griewank,21.7698784124,60.8254849598,43.5332283349,46.4926187550,12.6792634838
BusquedaAleatoria,rastrigin,50.1808316272,81.4291399496,64.1008068666,64.1540576435,8.6713931207
BusquedaAleatoria,rosenbrock,130.3764687555,286.8580898060,192.8489861475,180.0104203924,53.5133342844
