Funcion,Ejecucion,Fitness,Diversidad_Final
sphere,1,0.0022190741,0.172446
sphere,2,0.0136067751,0.167838
sphere,3,0.0107794427,0.175698
sphere,4,0.0024602924,0.131907
sphere,5,0.0059504868,0.161566
sphere,6,0.0016892239,0.172900
sphere,7,0.0053383099,0.171097
sphere,8,0.0022728355,0.126792
sphere,9,0.0072344615,0.138301
sphere,10,0.0083891842,0.154179
ackley,1,1.1931381123,0.115885
ackley,2,0.2324561537,0.104360
ackley,3,0.1684873033,0.088322
ackley,4,0.4194832081,0.131335
ackley,5,0.3655414750,0.115379
ackley,6,0.5557469688,0.102222
ackley,7,0.5610460431,0.150121
ackley,8,0.6560138079,0.166302
ackley,9,0.3197963110,0.128426
ackley,10,1.9240159259,0.106630
griewank,1,0.9296032781,0.171884
griewank,2,1.0123465917,0.141768
griewank,3,0.5761544239,0.117020
griewank,4,0.8315890511,0.133236
griewank,5,0.5847463909,0.159375
griewank,6,1.0141527400,0.199134
griewank,7,1.0331534030,0.176830
griewank,8,0.8328227594,0.159732
griewank,9,1.0239794322,0.148260
griewank,10,0.7501512403,0.159905
rastrigin,1,13.9806439470,0.150485
rastrigin,2,8.5860165555,0.091398
rastrigin,3,6.3089197033,0.123909
rastrigin,4,15.7189621063,0.107817
rastrigin,5,6.8112409857,0.140422
rastrigin,6,12.0880127972,0.105572
rastrigin,7,8.2989907786,0.157750
rastrigin,8,5.4971546303,0.158631
rastrigin,9,11.2783588655,0.134931
rastrigin,10,8.3915565745,0.148225
rosenbrock,1,8.1192467442,0.174225
rosenbrock,2,8.7175397678,0.185225
rosenbrock,3,7.0456367602,0.175030
rosenbrock,4,9.0567413607,0.170544
rosenbrock,5,8.2413166821,0.150626
rosenbrock,6,15.1743109475,0.189053
rosenbrock,7,10.1046979230,0.224265
rosenbrock,8,5.2322270863,0.184453
rosenbrock,9,8.1536248119,0.190987
rosenbrock,10,9.8403790667,0.194710

ESTADISTICAS RESUMEN

Funcion,Mejor,Peor,Promedio,Mediana,Desv.Est.
sphere,0.0016892239,0.0136067751,0.0059940086,0.0056443983,0.0038428843
ackley,0.1684873033,1.9240159259,0.6395725309,0.4876150885,0.5082467250
griewank,0.5761544239,1.0331534030,0.8588699310,0.8812130187,0.1669194857
rastrigin,5.4971546303,15.7189621063,9.6959856944,8.4887865650,3.2429855333
rosenbrock,5.2322270863,15.1743109475,8.9685721150,8.4794282250,2.4536740296
